words,sentiment_coeff
evening_shade,-97.57028822383353
vcal,-21.05544427004502
fairfield_bay,-81.89242022404109
el_paso,-99.11151411822753
west_point,-73.22382683348364
west_helena,-81.20198449446282
western_grove,-121.69498174234921
black_rock,-107.14130525924678
beech_grove,-73.73634609670191
bee_branch,-85.9340617719557
bald_knob,-77.3585161500031
caddo_gap,-83.6991883607812
calico_rock,-69.39294440991964
cave_city,-71.92103184781618
performance,-79.7862306785151
center_ridge,-87.30559820996426
good,-56.942305564080044
coal_hill,-63.592111980029806
bread,-66.67735608813786
college_station,-73.62514043663795
cotton_plant,-97.68901697315293
crocketts_bluff,-82.6781424399277
of_america,-66.51219938905734
just,-71.22464164531128
witts_springs,-95.33740898615841
white_hall,-93.94486833198737
whelen_springs,-111.13707194062906
scott,-86.42303261243126
design,-104.27552664533889
fountain_hill,-91.46933954615115
forrest_city,-75.13844251043574
mc_rae,-91.28544078780585
mountain_pine,-76.0358676265064
mount_vernon,-70.59229220792254
mount_pleasant,-68.75352912043844
mount_judea,-68.58716421564527
mount_ida,-89.3686311459908
hollywoodlife_llc,-33.84547147414546
mount_holly,-89.68077609658987
mineral_springs,-91.44316104575336
a_dog,-40.31063602047216
mc_neil,-80.14269644017672
party,-87.20673077616574
mc_gehee,-90.69663067193646
mc_crory,-92.25721434307187
mc_caskill,-99.79093757903283
marble_falls,-107.2424232325269
jones_mill,-91.51154078875544
locust_grove,-64.75089255350659
new_jersey,-64.06801822117984
air_force,-101.43909840214474
training,-69.6089307047619
holly_grove,-76.08213110952644
hickory_ridge,-77.21504704038485
lake_village,-83.73191750012806
pine_bluff,-78.79969807776148
garland_city,-95.31672198573274
saint_joe,-95.838472297056
owners,-88.01555606218808
team_penske,-36.23542479346318
rose_bud,-95.47540044120616
blue_mountain,-99.67642502317595
poplar_grove,-102.66927997002917
pleasant_plains,-102.30379112279248
pleasant_grove,-72.71482669455108
pencil_bluff,-101.94707591193185
new_blaine,-72.96453420839812
first,-64.45144130332756
heber_springs,-107.25796870755302
pacific,-76.1803875511027
it_s,-44.36624784095803
california,-65.41964513365697
hickory_plains,-80.1704858650161
oil_trough,-55.363065799689686
o_kean,-70.67785568423238
new_edinburg,-94.52289481466116
story,-63.61562621553211
bluff_city,-67.23542850806507
our,-54.71852898854442
9,-62.752982202605125
review,-103.15581647492074
is_doc,-57.78152072580316
no,-69.25368754820066
international,-48.607500886479
file_doc,-54.56503825587511
fire_king,-52.41704173637289
prosciutto_di,-28.77389184967931
league,-72.72709534014233
chocolate,-84.19362975145927
systems,-58.636219274087736
bake,-59.73236534488044
u23_team,-21.49061564737089
we,-54.76137210902658
group,-66.83644369829335
find_a,1.0851049840901474
joaquin_valley,-76.06501323435188
which,-72.25366377271696
tree,-81.03892885279066
and_technology,-64.64073285374634
seminary,-69.04728366605097
sonny,-64.6530185802506
instruction_manual,-52.256528094332744
college_southeastern,-77.29160406263964
university_ohio,-74.23580902303767
bournville,-31.414826821493154
university_oklahoma,-87.32112029554365
expert,-62.26754367201845
oklahoma_state,-64.37566364972672
graduate_school,-91.68938585041506
intercollegiate_athletic,-63.92757861494995
spring,-102.28120252183523
sports,-79.22117976385883
university_northern,-83.87445547595851
university_penn,-57.224870656439094
pima_medical,-72.66138192546116
social,-95.50925917852665
who,-57.928350524904914
technology,-77.50096212132725
hum_sah,-49.74660379613654
history,-96.4112334914664
memorial_hospital,-45.749415871315826
linux,-86.1582627094113
series,-88.68150567257364
nickito,1.065217929582433
indian,-79.44759888286978
outboard_service,-91.83337852484078
has,-72.31668714225069
robinson,-43.66921692461916
stagefield_army,-55.78566811299058
st_joseph,-80.36034809846318
university_southern,-72.99775958113314
education,-59.718786172207146
king,-67.05516613253047
john,-63.42694926527129
instruments,-78.98239412906597
ford,-65.23501430736587
texas,-70.53261371043376
birmingham,-70.57342085224144
free,-62.677078107547565
bezirk,-64.96548486887816
army_heliport,-70.2126411549581
university_southwestern,-64.05082145054543
by_the,-74.39352874196959
7,-59.34196190461172
general,-76.69658239559928
cut,-73.02645012693014
11,-50.345460449611146
love,-84.76934614729016
their,-34.62766655983671
two,-62.97766998681231
east,-86.81124389659625
2004,-93.55415566465464
19,-37.737754934939616
park,-64.74826891651178
fresh,-48.90606826013983
need_to,-49.0506605552885
london,-87.51676264303836
blog_hop,-65.33829540594856
us,-65.08198672786861
northwest,-74.06374576343495
crusty_bread,-63.500714825061884
gregory,-74.71791930748451
d,-53.96467939123056
when,-66.8641281779302
face,-74.93106573837059
gold,-39.338881394462334
some,-64.1439464486983
6,-63.035796842963705
christmas,-78.92054352878708
co,-65.53282584944678
if_you,-43.371930734692825
health,-77.04356901576142
washington,-66.88430011525718
silver,-82.27139819618527
ice_cream,-69.63074139844987
mississippi,-82.16539242292596
crackers,-58.637016919924186
fox,-66.51016716496561
book,-56.50718771967529
will,-43.72721600833691
southwest,-86.07280717780706
springfield,-94.3437109903509
economic,-67.16796302655968
campus,-50.34591937688273
bed,-52.61069576486973
big,-63.18523212227381
manuals,-89.47829092632863
his,-65.07627887458924
now,-65.50807395619046
club,-73.131418971981
san_francisco,-66.5524059810504
san_jose,-44.85304016041874
north,-60.84768311488183
asia,-64.54544531040827
can,-67.10866751235028
development,-95.36544611167992
com/playlists/nickito/papas_gamerias,1.0823943083107392
midwest,-47.58242999392464
cosmo_communicator,-81.31075422834536
gps_yes,-20.87670071775944
system,-61.40018185992695
southern_california,-62.50916598966816
family,-51.25118214983454
use,-56.64293370887862
digital,-67.30924380110724
into,-57.24188293858193
friday,-78.3616128010213
thai_green,-47.40202459667075
short_description,-59.82230433505567
workshop_on,-46.25981463976639
shop,-70.43949893423957
finesse_!,-47.915521043832165
wooden_slab,-51.38966436304154
flavours_with,-53.54789573061236
mound_bayou,-87.72535054107053
river,-54.43938173413827
north_little,-67.03835387761357
flat,-52.17536473428089
bedienungsanleitung_short,-53.42035090819912
had,-75.10584213405002
side,-85.5049783474491
striking_strong,-51.929720228117844
re,-38.01868524791824
a_few,-60.44381502266195
science,-79.1146275746092
